Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Edit Item,Chrome 107.0.0.0,,,2022-11-01 06:50:36,2022-11-01 06:52:23,1m - 46.637s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Edit Item/EDITITEM001 - Edit Item With Preview in Semua Product page,Chrome 107.0.0.0,,,2022-11-01 06:50:40,2022-11-01 06:51:06,26.584s,PASSED
Start listener action : beforeTestCase,Chrome 107.0.0.0,,,2022-11-01 06:50:40,2022-11-01 06:50:43,3.261s,PASSED
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001 - Login with Valid Email and Password""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:50:43,2022-11-01 06:50:52,8.481s,PASSED
"click(findTestObject(""Page_Home/svg_Profile_svg-inline--fa fa-list fa-lg""))",Chrome 107.0.0.0,,,2022-11-01 06:50:52,2022-11-01 06:50:52,0.406s,PASSED
"click(findTestObject(""Page_Daftar_Jual/button_Semua Product""))",Chrome 107.0.0.0,,,2022-11-01 06:50:52,2022-11-01 06:50:55,2.650s,PASSED
"click(findTestObject(""Page_Daftar_Jual/btn_Paracetamol 500mgboxKesehatanRp1.000.000,00""))",Chrome 107.0.0.0,,,2022-11-01 06:50:55,2022-11-01 06:50:56,0.639s,PASSED
"click(findTestObject(""Page_Daftar_Jual/button_Edit""))",Chrome 107.0.0.0,,,2022-11-01 06:50:56,2022-11-01 06:50:57,1.413s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Nama Produk""), [""nama_produk"":""Paracetamol""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:50:57,2022-11-01 06:50:58,1.527s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Harga Produk""), [""harga_produk"":""10000""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:50:58,2022-11-01 06:50:59,1.008s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Select Kategori""), [""select_kategori"":""1""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:50:59,2022-11-01 06:51:01,1.483s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Deskripsi""), [""deskripsi"":""ini deskripsi paracetamol""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:01,2022-11-01 06:51:02,1.000s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Add Photo""), [""add_photo"":""C:\Users\ASUS\Downloads\desain1.png""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:02,2022-11-01 06:51:03,0.720s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Click Preview""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:03,2022-11-01 06:51:06,3.053s,PASSED
Start listener action : afterTestCase,Chrome 107.0.0.0,,,2022-11-01 06:51:06,2022-11-01 06:51:06,0.666s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Edit Item/EDITITEM002 - Edit Item Without Preview in Semua Product page,Chrome 107.0.0.0,,,2022-11-01 06:51:06,2022-11-01 06:51:32,25.164s,PASSED
Start listener action : beforeTestCase,Chrome 107.0.0.0,,,2022-11-01 06:51:06,2022-11-01 06:51:09,2.688s,PASSED
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001 - Login with Valid Email and Password""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:09,2022-11-01 06:51:18,8.378s,PASSED
"click(findTestObject(""Page_Home/svg_Profile_svg-inline--fa fa-list fa-lg""))",Chrome 107.0.0.0,,,2022-11-01 06:51:18,2022-11-01 06:51:18,0.457s,PASSED
"click(findTestObject(""Page_Daftar_Jual/button_Semua Product""))",Chrome 107.0.0.0,,,2022-11-01 06:51:18,2022-11-01 06:51:21,3.173s,PASSED
"click(findTestObject(""Page_Daftar_Jual/btn_Paracetamol 500mgboxKesehatanRp1.000.000,00""))",Chrome 107.0.0.0,,,2022-11-01 06:51:21,2022-11-01 06:51:22,0.450s,PASSED
"click(findTestObject(""Page_Daftar_Jual/button_Edit""))",Chrome 107.0.0.0,,,2022-11-01 06:51:22,2022-11-01 06:51:23,1.570s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Nama Produk""), [""nama_produk"":""Paracetamol""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:23,2022-11-01 06:51:25,1.389s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Harga Produk""), [""harga_produk"":""10000""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:25,2022-11-01 06:51:26,0.859s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Select Kategori""), [""select_kategori"":""1""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:26,2022-11-01 06:51:27,1.238s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Deskripsi""), [""deskripsi"":""ini deskripsi paracetamol""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:27,2022-11-01 06:51:28,0.857s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Add Photo""), [""add_photo"":""C:\Users\ASUS\Downloads\desain1.png""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:28,2022-11-01 06:51:28,0.555s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Click Terbitkan""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:28,2022-11-01 06:51:31,2.633s,PASSED
Start listener action : afterTestCase,Chrome 107.0.0.0,,,2022-11-01 06:51:31,2022-11-01 06:51:32,0.670s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Edit Item/EDITITEM003 - Edit Item Without Preview in Diminati page,Chrome 107.0.0.0,,,2022-11-01 06:51:32,2022-11-01 06:51:57,25.324s,PASSED
Start listener action : beforeTestCase,Chrome 107.0.0.0,,,2022-11-01 06:51:32,2022-11-01 06:51:34,2.600s,PASSED
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001 - Login with Valid Email and Password""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:34,2022-11-01 06:51:43,8.220s,PASSED
"click(findTestObject(""Page_Home/svg_Profile_svg-inline--fa fa-list fa-lg""))",Chrome 107.0.0.0,,,2022-11-01 06:51:43,2022-11-01 06:51:43,0.427s,PASSED
"click(findTestObject(""Page_Daftar_Jual/button_Diminati""))",Chrome 107.0.0.0,,,2022-11-01 06:51:43,2022-11-01 06:51:46,2.843s,PASSED
"click(findTestObject(""Page_Diminati/div_opticalHobyRp250.000,00""))",Chrome 107.0.0.0,,,2022-11-01 06:51:46,2022-11-01 06:51:46,0.538s,PASSED
"click(findTestObject(""Page_Daftar_Jual/button_Edit""))",Chrome 107.0.0.0,,,2022-11-01 06:51:46,2022-11-01 06:51:49,2.046s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Nama Produk""), [""nama_produk"":""Paracetamol""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:49,2022-11-01 06:51:50,1.561s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Harga Produk""), [""harga_produk"":""10000""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:50,2022-11-01 06:51:51,0.829s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Select Kategori""), [""select_kategori"":""1""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:51,2022-11-01 06:51:52,1.222s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Deskripsi""), [""deskripsi"":""ini deskripsi paracetamol""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:52,2022-11-01 06:51:53,0.852s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Add Photo""), [""add_photo"":""C:\Users\ASUS\Downloads\desain1.png""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:53,2022-11-01 06:51:54,0.596s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Click Terbitkan""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:51:54,2022-11-01 06:51:56,2.642s,PASSED
Start listener action : afterTestCase,Chrome 107.0.0.0,,,2022-11-01 06:51:56,2022-11-01 06:51:57,0.675s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Edit Item/EDITITEM004 - Edit Item With Preview in Diminati page,Chrome 107.0.0.0,,,2022-11-01 06:51:57,2022-11-01 06:52:23,25.603s,PASSED
Start listener action : beforeTestCase,Chrome 107.0.0.0,,,2022-11-01 06:51:57,2022-11-01 06:52:00,2.608s,PASSED
"callTestCase(findTestCase(""StepDefinition/Feature Login/LOGIN001 - Login with Valid Email and Password""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:52:00,2022-11-01 06:52:08,7.699s,PASSED
"click(findTestObject(""Page_Home/svg_Profile_svg-inline--fa fa-list fa-lg""))",Chrome 107.0.0.0,,,2022-11-01 06:52:08,2022-11-01 06:52:08,0.452s,PASSED
"click(findTestObject(""Page_Daftar_Jual/button_Diminati""))",Chrome 107.0.0.0,,,2022-11-01 06:52:08,2022-11-01 06:52:11,2.829s,PASSED
"click(findTestObject(""Page_Diminati/div_opticalHobyRp250.000,00""))",Chrome 107.0.0.0,,,2022-11-01 06:52:11,2022-11-01 06:52:11,0.512s,PASSED
"click(findTestObject(""Page_Daftar_Jual/button_Edit""))",Chrome 107.0.0.0,,,2022-11-01 06:52:11,2022-11-01 06:52:13,2.032s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Nama Produk""), [""nama_produk"":""Paracetamol""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:52:13,2022-11-01 06:52:16,2.557s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Harga Produk""), [""harga_produk"":""10000""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:52:16,2022-11-01 06:52:17,0.766s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Select Kategori""), [""select_kategori"":""1""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:52:17,2022-11-01 06:52:18,1.111s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Input Deskripsi""), [""deskripsi"":""ini deskripsi paracetamol""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:52:18,2022-11-01 06:52:19,0.922s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Add Photo""), [""add_photo"":""C:\Users\ASUS\Downloads\desain1.png""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:52:19,2022-11-01 06:52:19,0.474s,PASSED
"callTestCase(findTestCase(""Pages/UserEditItem/Click Preview""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-01 06:52:19,2022-11-01 06:52:22,2.628s,PASSED
Start listener action : afterTestCase,Chrome 107.0.0.0,,,2022-11-01 06:52:22,2022-11-01 06:52:23,0.659s,PASSED
